Notification Category (the why) [the user's JTBD/challenge],Notification template [The BSci intervention/solution],Trigger,Minimum Condition,Parameters,CTA,Measurement,Notification Header,Notification Body,Chars
Help me make smart choices when dining out,Encourage me to focus on fresh foods and avoid fried ones,Dining out,N/A,N/A,"Choose fresh, whole foods",N/A,"Hi [name], at a restaurant?",Consider making smart choices off the menu. Focus on fresh foods and avoid fried ones. Your body will thank you.,134
Help me practice mindful eating at restaurants,Remind me to save leftovers for later,Dining out,N/A,N/A,Save leftovers for later,N/A,"Hi [name], enjoying your meal?","Remember, you don't need to finish everything if you're full. Consider packing it up for later.",118
Encourage me to choose vegetable dishes at restaurants,Promote the benefits of going green,Dining out,N/A,N/A,Choose vegetable dishes,N/A,"Hi [name], how's the menu?",Veggies are a great choice! They can help you save on calories and offer a fresh alternative to heavy dishes.,137
Help me make healthier choices with salads at restaurants,Warn me about high-calorie salad toppings,Dining out,N/A,N/A,Choose healthy salad toppings,N/A,"Hi [name], eyeing a salad?","Just a heads up, dressings and toppings can add a lot of calories. Opt for lighter options when you can.",140
Help me choose healthier seasonings at restaurants,Suggest using lemon and vinegar for flavor,Dining out,N/A,N/A,Use lemon and vinegar for flavor,N/A,"Hi [name], ready to order?",Consider swapping salt for healthier seasonings like fresh lemon or vinegar. It's a small change with big benefits.,144
Help me choose fiber-friendly foods at restaurants,Suggest having fiber-friendly foods at the beginning of the meal,Dining out,N/A,N/A,Choose fiber-friendly foods,N/A,"Hi [name], ordering starters?",Consider fiber-friendly foods to start your meal. They can help avoid spikes in your blood sugar.,133
Help me control my portions at restaurants,Advise to place shared dishes on a plate,Dining out,N/A,N/A,Place shared dishes on a plate,N/A,"Hi [name], sharing a meal?",Remember to place your food on a plate when sharing dishes. It can help you be mindful of your portions.,134
Help me customize my order at restaurants,Encourage to ask for modifications,Dining out,N/A,N/A,Ask for modifications,N/A,"Hi [name], ready to order?","Don’t be shy, you can always ask to modify your dish. Put dressings on the side, or say no to butter & oil.",141
Help me choose lean protein options at restaurants,Suggest lean sources of protein off a menu,Dining out,N/A,N/A,Choose lean protein options,N/A,"Hi [name], looking for protein?","Consider lean sources of protein such as boneless chicken, turkey, or fatty fish like salmon.",130
Encourage me to fill up on plant-based foods at restaurants,Promote the benefits of plant-based foods,Dining out,N/A,N/A,Fill up on plant-based foods,N/A,"Hi [name], exploring the menu?","Consider filling up on veggies. Plant-based foods aren’t just trendy, they can be super healthy too.",136
