"Notification Category (the why) 
[the user's JTBD/challenge] ","Notification template
[The BSci intervention/solution]",Trigger,Minimum Condition,Parameters,Measure,Example
Help me build my motivation,Help me exercise in ClearCafeCalOn,time insensitive,"User is at home, Weather = Clear, Daily goal not met, Open block on calendar, Calendar Permission: On","Weather, Location, Cafe",location arrival,"[Greeting] [first_name], you have [[X]] min of activity left. It's a clear day, perfect for a walk to [location_Name] at [location_address]. You've got free time at [slot_start_time], perfect timing!"
Help me build my motivation,Help me exercise in ClearCafeCalOff,time insensitive,"User is at home, Weather = Clear, Daily goal not met, Calendar Permission: Off","Weather, Location, Cafe",location arrival,"[Greeting] [first_name], you have [[X]] min of activity left. It's a clear day, perfect for a walk to [location_Name] at [location_address]."
Help me build my motivation,Help me exercise in ClearParkCalOn,time insensitive,"User is at home, Weather = Clear, Daily goal not met, Open block on calendar, Calendar Permission: On","Weather, Location, Park",location arrival,"[Greeting] [first_name], you have [[X]] min of activity left. It's a clear day, perfect for a walk to [location_Name] at [location_address]. You've got free time at [slot_start_time], perfect timing!"
Help me build my motivation,Help me exercise in ClearParkCalOff,time insensitive,"User is at home, Weather = Clear, Daily goal not met, Calendar Permission: Off","Weather, Location, Park",location arrival,"[Greeting] [first_name], you have [[X]] min of activity left. It's a clear day, perfect for a walk to [location_Name] at [location_address]."
Help me build my motivation,Help me exercise in CloudsCafeCalOn,time insensitive,"User is at home, Weather = Clouds, Daily goal not met, Open block on calendar, Calendar Permission: On","Weather, Location, Cafe",location arrival,"[Greeting] [first_name], you have [[X]] min of activity left. It's a cloudy day, but still good for a walk to [location_Name] at [location_address]. You've got free time at [slot_start_time], perfect timing!"
Help me build my motivation,Help me exercise in CloudsCafeCalOff,time insensitive,"User is at home, Weather = Clouds, Daily goal not met, Calendar Permission: Off","Weather, Location, Cafe",location arrival,"[Greeting] [first_name], you have [[X]] min of activity left. It's a cloudy day, but still good for a walk to [location_Name] at [location_address]."
Help me build my motivation,Help me exercise in CloudsParkCalOn,time insensitive,"User is at home, Weather = Clouds, Daily goal not met, Open block on calendar, Calendar Permission: On","Weather, Location, Park",location arrival,"[Greeting] [first_name], you have [[X]] min of activity left. It's a cloudy day, but still good for a walk to [location_Name] at [location_address]. You've got free time at [slot_start_time], perfect timing!"
Help me build my motivation,Help me exercise in CloudsParkCalOff,time insensitive,"User is at home, Weather = Clouds, Daily goal not met, Calendar Permission: Off","Weather, Location, Park",location arrival,"[Greeting] [first_name], you have [[X]] min of activity left. It's a cloudy day, but still good for a walk to [location_Name] at [location_address]."
Help me build my motivation,Help me exercise in DrizzleCafeCalOn,time insensitive,"User is at home, Weather = Drizzle, Daily goal not met, Open block on calendar, Calendar Permission: On","Weather, Location, Cafe",location arrival,"[Greeting] [first_name], you have [[X]] min of activity left. It's drizzling, remember to take an umbrella for a walk to [location_Name] at [location_address]. You've got free time at [slot_start_time], perfect timing!"
Help me build my motivation,Help me exercise in DrizzleCafeCalOff,time insensitive,"User is at home, Weather = Drizzle, Daily goal not met, Calendar Permission: Off","Weather, Location, Cafe",location arrival,"[Greeting] [first_name], you have [[X]] min of activity left. It's drizzling, remember to take an umbrella for a walk to [location_Name] at [location_address]."
