"3 שבועות לא עשית פעילות, אבל אנחנו לא מוותרים עליך! יעד השבוע הוא: [current_weekly_goal] דק'"
"3 שבועות לא עשית פעילות, אנחנו כאן ללוות אותך במסע לאורח חיים בריא! יעד השבוע הוא: [current_weekly_goal] דק'"
"3 שבועות לא עשית פעילות, זה זמן לחזור לעניינים! יעד השבוע הוא: [current_weekly_goal] דק'"
"[first_name], אל תשכח לעקוב אחר המשקל והפעילות הגופנית שלך ופשוט תכניס אותם כחלק משגרת החיים הבריאה החדשה שלך!"
"[first_name], אם אתה מתקשה להירדם בלילה, נסה לעשות משהו מרגיע כמו לקרוא ספר או להאזין למוזיקה מרגיעה"
"[first_name], אם יורדים תחנה אחת קודם והולכים ברגל מגיעים ליעד השבועי. יעד השבוע הוא: [current_weekly_goal] דק'"
"[first_name], אנו מעדכנים ש[supporter_first_name] לא רוצה להמשיך להתעדכן על הפעילות שלך [new_line]תוכל להגדיר תומך חדש ב[app_name] כדי לעזור לך במסע לאורך חיים בריאים יותר"
"[first_name], אנחנו גאים בזכייתך במדליה על שיא של [steps_record] במספר צעדים יומי שעשית אתמול. הוכחת שהכל קטן עליך!"
"[first_name], אנחנו גאים בך על סיום שלב ראשון בתכנית ומעבר לשלב הבא, שבו יעדים מאתגרים יותר. פתח את האפליקציה לפרטים. בהצלחה!"
[first_name] אנחנו משוכנעים שהשבוע תצליח לעשות יותר פעילות גופנית. יעד השבוע הנוכחי הוא: [current_weekly_goal] דק' 
"🥇 [first_name], אתה באופן רשמי המאסטר של היעדים היומיים! השגת את הכמות הגדולה ביותר של היעדים היומיים בשבועיים האחרונים וזכית ""ב[competition_name]"" 🏆"
"[first_name], אתה מדהים! [days_left] ללוח התוצאות לפעילות השבועית, ואתה מדורג במקום ה-1 🏆. המשך לעבוד קשה ונסה לא לאבד את מיקומך בטבלה :)"
"[first_name], בא לך משהו מתוק? תפרגן לך קערת נשנוש עם אגוזים, זרעים וכמה קוביות שוקולד :) מריר וקיבלת שילוב מושלם של נשנוש בריא ומתוק"
"[first_name], בוא ניקח תרופה לפני השינה"
