Notification Header,Notification Body,hebrew header Suggestion,Hebrew Body Suggestion,number
"Hi [name], at a restaurant? 🍽️",Consider making smart choices off the menu. Focus on fresh foods 🥦 and avoid fried ones. Your body will thank you.,"היי [שם], במסעדה?",שקול לבצע בחירות חכמות מהתפריט. התמקד במזונות טריים והימנע מהמטוגנים. גופך יודה לך.,1
"Hi [name], enjoying your meal? 🍽️","Remember, you don't need to finish everything if you're full 🧠. Consider packing it up for later.","היי [שם], נהנה מהארוחה שלך?","זכור, אינך חייב לסיים הכל אם אתה מלא. שקול לארוז את זה למועד מאוחר יותר.",2
"Hi [name], how's the menu? 🥦",Veggies are a great choice! They can help you save on calories and offer a fresh alternative to heavy dishes.,"היי [שם], איך התפריט?",ירקות הם בחירה נהדרת! הם יכולים לעזור לך לחסוך בקלוריות ומציעים אלטרנטיבה רעננה למנות כבדות.,3
"Hi [name], eyeing a salad? 🥗","Just a heads up, dressings and toppings can add a lot of calories. Opt for lighter options when you can.","היי [שם], מסתכל על סלט?",רטבים ותוספות עלולים להוסיף המון קלוריות. בחר באפשרויות קלות יותר כשאתה יכול.,4
"Hi [name], ready to order? 🍽️",Consider swapping salt for healthier seasonings like fresh lemon 🍋 or vinegar. It's a small change with big benefits.,"היי [שם], מוכן להזמין?",שקול להחליף מלח לתבלינים בריאים יותר כמו לימון טרי או חומץ. זה שינוי קטן עם יתרונות גדולים.,5
"Hi [name], ordering starters? 🍽️",Consider fiber-friendly foods 🥦🍎 to start your meal. They can help avoid spikes in your blood sugar.,"היי [שם], הזמנת מנות ראשונות?",שקול מאכלים עשירים בסיבים כדי להתחיל את הארוחה. הם יכולים לעזור להימנע מקפיצות ברמת הסוכר בדם.,6
"Hi [name], sharing a meal? 🍽️",Remember to place your food on a plate when sharing dishes. It can help you be mindful of your portions.,"היי [שם], חולק ארוחה?",זכור להניח את האוכל שלך על צלחת כשחולקים ארוחה עם כמה אנשים. זה יכול לעזור לך להיות מודע לגודל המנות שלך.,7
"Hi [name], ready to order? 🍽️","Don’t be shy, you can always ask to modify your dish. Put dressings on the side, or say no to butter & oil.🧈","היי [שם], מוכן להזמין?","אל תהיה ביישן, אתה תמיד יכול לבקש לשנות את המנה שלך. בקש את הרוטב בצד, או אמור לא לחמאה ולשמן.",8
"Hi [name], looking for protein? 🍗","Consider lean sources of protein such as boneless chicken, turkey, or fatty fish like salmon 🐟.","היי [שם], מחפש חלבונים?","שקול מקורות רזים לחלבון כמו עוף נטול עצמות, הודו או דגים שומניים כמו סלמון.",9
"Hi [name], exploring the menu? 🌽","Consider filling up on veggies. Plant-based foods aren’t just trendy, they can be super healthy too 🥦.","היי [שם], בודק את התפריט?","שקול להתמלא מירקות. מזונות מבוססי צמחים אינם רק אופנתיים, הם יכולים גם להיות בריאים במיוחד.",10
