JTBD,BSci Intervention,Trigger,Minimum Condition,Parameters,CTA,Measurement,Notification Header,Notification Body,GPT Header Chars,GPT Body Chars,Real Header Chars,Real Body Chars
Daily Goal met- cheers! (positive reinforcement),help me celebrate small wins!1,reached activity goal,weekly goal not yet met,# min completed OR daily goal amount weekly goal # min activity this week,Perform physical activity,# min completed,"Hi [name], great job!","You've completed # min of activity today, reaching your daily goal. Keep up the good work to meet your weekly goal.",18,120,21,115
Daily Goal met- cheers! (positive reinforcement),help me celebrate small wins!1,reached activity goal,weekly goal not yet met,# min completed OR daily goal amount weekly goal # min activity this week,manual log physical activity in the app,# min completed,"Hi [name], well done!",You've achieved your daily activity goal of # min. Don't forget to log your activity in the app.,19,104,21,96
Daily Goal met- cheers! (positive reinforcement),help me celebrate small wins!1,reached activity goal,weekly goal not yet met,# min completed OR daily goal amount weekly goal # min activity this week,Perform physical activity,# min completed,"Hello [name], congrats!",You've hit your daily activity goal of # min. Keep moving to reach your weekly goal of # min.,20,110,23,93
Daily Goal met- cheers! (positive reinforcement),help me celebrate small wins!1,reached activity goal,weekly goal not yet met,# min completed OR daily goal amount weekly goal # min activity this week,manual log physical activity in the app,# min completed,"Hi [name], you did it!",You've met your daily activity goal of # min. Remember to log your activity in the app.,20,103,22,87
Daily Goal met- cheers! (positive reinforcement),help me celebrate small wins!1,reached activity goal,weekly goal not yet met,# min completed OR daily goal amount weekly goal # min activity this week,Perform physical activity,# min completed,"Hi [name], fantastic!",You've reached your daily activity goal of # min. Keep it up to meet your weekly goal of # min.,20,109,21,95
Daily Goal met- cheers! (positive reinforcement),help me celebrate small wins!1,reached activity goal,weekly goal not yet met,# min completed OR daily goal amount weekly goal # min activity this week,manual log physical activity in the app,# min completed,"Hi [name], excellent!","You've completed # min of activity, achieving your daily goal. Log your activity in the app.",20,108,21,92
Daily Goal met- cheers! (positive reinforcement),help me celebrate small wins!1,reached activity goal,weekly goal not yet met,# min completed OR daily goal amount weekly goal # min activity this week,Perform physical activity,# min completed,"Hello [name], superb!","You've done # min of activity, hitting your daily goal. Keep going to meet your weekly goal of # min.",20,113,21,101
Daily Goal met- cheers! (positive reinforcement),help me celebrate small wins!1,reached activity goal,weekly goal not yet met,# min completed OR daily goal amount weekly goal # min activity this week,manual log physical activity in the app,# min completed,"Hi [name], you're amazing!",You've achieved your daily activity goal of # min. Don't forget to log your activity in the app.,24,104,26,96
Daily Goal met- cheers! (positive reinforcement),help me celebrate small wins!1,reached activity goal,weekly goal not yet met,# min completed OR daily goal amount weekly goal # min activity this week,Perform physical activity,# min completed,"Hi [name], keep it up!",You've reached your daily activity goal of # min. Continue this pace to meet your weekly goal of # min.,20,109,22,103
Daily Goal met- cheers! (positive reinforcement),help me celebrate small wins!1,reached activity goal,weekly goal not yet met,# min completed OR daily goal amount weekly goal # min activity this week,manual log physical activity in the app,# min completed,"Hi [name], you're on fire!",You've met your daily activity goal of # min. Remember to log your activity in the app.,24,103,26,87
