Location,Theme,Push Notification,,CTA
Restaurant,Smart Choices,Make smart choices off a menu [first_name]. Focus on fresh foods and avoid fried ones. Your body will thank you 😉,,"Choose fresh, whole foods"
Restaurant,Mindful Eating,Pro tip: Don’t feel pressured to finish a dish if you’re full [first_name]. Pack it up and save it for later.,,Save leftovers for later
Restaurant,Veggie Options,"Veggies are the way to go! [first_name], save on calories by swapping out carbs for a fresh vegetable dish.",,Choose vegetable dishes
Restaurant,Salad Caution,"Be cautious with salads [first_name]. They can be healthy, but look out for dressings, cheeses, & fried toppings that are high in calories.",,Choose healthy salad toppings
Restaurant,Healthy Seasoning,Salt may enhance your food but it’s not the healthiest option. Trade it in for fresh 🍋 and vinegar for flavor.,,Use lemon and vinegar for flavor
Restaurant,Fiber-Friendly,Fiber first! Avoid spikes in your blood sugar by having fiber-friendly foods at the beginning of the meal 😉,,Choose fiber-friendly foods
Restaurant,Portion Control,"When sharing dishes, always place your food on a plate. It’ll help you be mindful of your portions.",,Place shared dishes on a plate
Restaurant,Customizable Order,"Don’t be shy, you can always ask to modify your dish when eating out. Put dressings on the side, or say no to butter & oil 💪",,Ask for modifications
Restaurant,Protein Options,"Look out for lean sources of protein off a menu such as boneless chicken, turkey, or fatty fish like salmon 💪",,Choose lean protein options
Restaurant,Plant-Based,"Fill up on veggies [first_name]. Keep an eye out for plant-based foods [first_name]. They aren’t just trendy, they can be super healthy too 🥕",,Fill up on plant-based foods
Supermarket,Food Labels,"[first_name], food labels can be tricky 🤔. Keep an eye out for products low in sugar, saturated fat & salts.",,Read food labels carefully to choose healthy options.
Supermarket,Pantry Stocking,"Hi [first_name], keeping your pantry stocked with healthy items is easier than you think! Grains, beans & nuts will set you up for healthy meals 🥫",,Stock your pantry with these healthy items to make meal prep easier.
Supermarket,Meal Planning,"Meal planning is everything! [first_name], try to plan dinners ahead to avoid last-minute fast foods.",,Plan your meals ahead of time to avoid unhealthy food choices.
Supermarket,Reading Facts,Read the facts on your food [first_name]! As a rule of thumb - the fewer the ingredients the better 👌,,Check the ingredients in your food to make sure they're healthy.
Supermarket,Store Layout,Did you ever notice that healthier food options are found around the perimeter of shops? Stick to the healthy area 💪,,Look for healthy food options around the perimeter of the store.
Supermarket,Fruit Cravings,Craving fruit? Avoid the usual blood sugar spike by adding a handful of nuts to your meal 🍎🍌🥜,,Add nuts to your fruit to balance your blood sugar.
Supermarket,Lean Protein,Lean 🥩 or 🐟 are actually low in carbs & can be the source of your protein and omega-3’s.,,Choose lean meat and fish for protein and omega-3s.
Supermarket,Whole Grains,"Whole grains are the real deal. Stock up on quinoa, brown rice and oats to add complex carbs to any meal.",,Choose whole grains for complex carbs.
Supermarket,Weekly Menu,Map out your weekly menu [first_name] 🗺️. Plan your meals ahead of time to avoid stress while following a healthy diet.,,Plan your meals ahead of time to reduce stress and eat healthily.
Supermarket,Colorful Meals,"Taste the 🌈 [first_name], and plan your meals accordingly. Choose colorful fruits and veggies to balance your nutrients.",,Choose colorful fruits and vegetables for a balanced diet.
Gym,Progress Update,"Hi [first_name], how’s your activity today? Keep us updated on your progress 👌","Hi [first_name], how’s your activity today? Keep us updated on your progress 👌",Manual Activity
Gym,Reporting,Keep us in the loop [first_name] 👌 Don’t forget to report on all your daily activity so your goals stay up-to-date.,Keep us in the loop [first_name] 👌 Don’t forget to report on all your daily activity so your goals stay up-to-date.,Manual Activity
Gym,Activity Goals,Let’s reach your activity goals! Remember to report on any activity that we don’t track so we update your goal 😌,Let’s reach your activity goals! Remember to report on any activity that we don’t track so we update your goal 😌,Manual Activity
Gym,Tracking,"Tracking is key [first_name]. Keep your activity log up to date, and we’ll celebrate your success 🥳","Tracking is key [first_name]. Keep your activity log up to date, and we’ll celebrate your success 🥳",Manual Activity
Gym,Reporting,Don’t forget to report on all your daily activity. It’ll help us keep your goals in check.,Don’t forget to report on all your daily activity. It’ll help us keep your goals in check.,Manual Activity
Gym,Hydration,Physical activity can quickly dehydrate the body 💦. Here’s a tip - keep a water bottle nearby and you won’t have to worry!,Physical activity can quickly dehydrate the body 💦. Here’s a tip - keep a water bottle nearby and you won’t have to worry!,Keep water bottle nearby
Gym,Stretching,"Add some stretches into your day [first_name], it’s good for both your physical and mental health.","Add some stretches into your day [first_name], it’s good for both your physical and mental health.",Add stretches to your routine
Gym,Routine,We’re glad you are making activity a part of your regular routine [first_name]. Keep up the good work 💪,We’re glad you are making activity a part of your regular routine [first_name]. Keep up the good work 💪,Celebratory
Gym,Success,How you doin’ [first_name]? We’re proud of your hard work with us so far. Reward yourself tonight 👏,How you doin’ [first_name]? We’re proud of your hard work with us so far. Reward yourself tonight 👏,Celebratory
Gym,Habits,"Building habits takes time [first_name], and we’re here to support you along this journey. Great job 👏","Building habits takes time [first_name], and we’re here to support you along this journey. Great job 👏",Continue building habits
