Notification Header,כותרת ההודעה,Notification Body,גוף ההודעה
"Hi [first_name], great job!","היי [שם_פרטי], כל הכבוד!","You've completed [activity_goal] min of activity today, reaching your daily goal. Keep up the good work to meet your weekly goal.",השלמת [יעד_פעילות] דקות פעילות היום והגעת ליעד היומי שלך! המשך לעבוד כדי לעמוד ביעד השבועי שלך.
"Hi [first_name], well done!","היי [שם_פרטי], יפה מאוד!",You've achieved your daily activity goal of [activity_goal] min. Don't forget to log your activity in the app.,השגת את יעד הפעילות היומי של [יעד_פעילות] דקות. אל תשכח לרשום את הפעילות באפליקציה.
"Hello [first_name], congrats!","היי [שם_פרטי], ברכות!",You've hit your daily activity goal of [activity_goal] min. Keep moving to reach your weekly goal of [current_weekly_goal] min.,הגעת ליעד הפעילות היומי של [יעד_פעילות] דקות. המשך להתקדם כדי שתוכל להגיע ליעד השבועי של [יעד_שבועי_נוכחי] דקות.
"Hi [first_name], you did it!","היי [שם_פרטי], עשית את זה!",You've met your daily activity goal of [activity_goal] min. Remember to log your activity in the app.,הגעת ליעד הפעילות היומי של [יעד_פעילות] דקות. אל תשכח לרשום את הפעילות באפליקציה.
"Hi [first_name], fantastic!","היי [שם_פרטי], מדהים!",You've reached your daily activity goal of [activity_goal] min. Keep it up to meet your weekly goal of [current_weekly_goal] min.,הגעת ליעד הפעילות היומי של [יעד_פעילות] דקות. המשך לעבוד כדי שתוכל להגיע ליעד השבועי של [יעד_שבועי_נוכחי] דקות.
"Hi [first_name], excellent!","היי [שם_פרטי], מצוין!","You've completed [activity_goal] min of activity, achieving your daily goal. If you did more, Log your activity in the app.","השלמת [יעד_פעילות] דקות של פעילות היום והגעת ליעד היומי שלך. אם השגת יותר, תעד את הפעילות באפליקציה."
"Hello [first_name], superb!","היי [שם_פרטי], נפלא!","You've done [activity_goal] min of activity, hitting your daily goal. Keep going to meet your weekly goal of [current_weekly_goal] min.",השלמת [יעד_פעילות] דקות של פעילות היום הצלחת להגיע ליעד היומי שלך. המשך לעבוד כדי שתוכל להגיע ליעד השבועי של [יעד_שבועי_נוכחי] דקות.
"Hi [first_name], you're amazing!","היי [שם_פרטי], אתה אלוף!",You've achieved your daily activity goal of [activity_goal] min. Don't forget to log your activity in the app.,השגת את יעד הפעילות היומי של [יעד_פעילות] דקות. אל תשכח לרשום את הפעילות באפליקציה.
"Hi [first_name], keep it up!","היי [שם_פרטי], המשך לעבוד!",You've reached your daily activity goal of [activity_goal] min. Continue this physical activity to meet your weekly goal of [current_weekly_goal] min.,הגעת ליעד הפעילות היומי של [יעד_פעילות] דקות. המשך בפעילות הגופנית הזו כדי שתוכל להגיע ליעד השבועי של [יעד_שבועי_נוכחי] דקות.
"Hi [first_name], you're on fire!","היי [שם_פרטי], אתה אש!",You've met your daily activity goal of [activity_goal] min. Remember to log your activity in the app.,הגעת ליעד הפעילות היומי של [יעד_פעילות] דקות. אל תשכח לרשום את הפעילות באפליקציה.
"Hi [first_name], great job!","היי [שם_פרטי], כל הכבוד!","You've completed [activity_goal] min of activity today, reaching your daily goal. Keep up the good work to meet your weekly goal.",השלמת [יעד_פעילות] דקות פעילות היום והגעת ליעד היומי שלך! המשך לעבוד כדי לעמוד ביעד השבועי שלך.
"Hi [first_name], well done!","היי [שם_פרטי], יפה מאוד!",You've achieved your daily activity goal of [activity_goal] min. Don't forget to log your activity in the app.,השגת את יעד הפעילות היומי של [יעד_פעילות] דקות. אל תשכח לרשום את הפעילות באפליקציה.
"Hello [first_name], congrats!","היי [שם_פרטי], ברכות!",You've hit your daily activity goal of [activity_goal] min. Keep moving to reach your weekly goal of [current_weekly_goal] min.,הגעת ליעד הפעילות היומי של [יעד_פעילות] דקות. המשך להתקדם כדי שתוכל להגיע ליעד השבועי של [יעד_שבועי_נוכחי] דקות.
"Hi [first_name], you did it!","היי [שם_פרטי], עשית את זה!",You've met your daily activity goal of [activity_goal] min. Remember to log your activity in the app.,הגעת ליעד הפעילות היומי של [יעד_פעילות] דקות. אל תשכח לרשום את הפעילות באפליקציה.
"Hi [first_name], fantastic!","היי [שם_פרטי], מדהים!",You've reached your daily activity goal of [activity_goal] min. Keep it up to meet your weekly goal of [current_weekly_goal] min.,הגעת ליעד הפעילות היומי של [יעד_פעילות] דקות. המשך לעבוד כדי שתוכל להגיע ליעד השבועי של [יעד_שבועי_נוכחי] דקות.
"Hi [first_name], excellent!","היי [שם_פרטי], מצוין!","You've completed [activity_goal] min of activity, achieving your daily goal. If you did more, Log your activity in the app.","השלמת [יעד_פעילות] דקות של פעילות היום והגעת ליעד היומי שלך. אם השגת יותר, תעד את הפעילות באפליקציה."
